proc,t_sched,t_calc,t_IO,t_total
1,0.000000,0.000000,0.000000,136.245000
2,0.033780,62.457058,0.000016,62.490854
4,0.017332,31.356324,0.000018,31.373673
8,0.017305,15.822196,0.000007,15.839509
16,0.018694,8.084927,0.000008,8.103629
32,0.020671,4.197893,0.000007,4.218571
64,0.026027,4.375047,0.000021,4.401094
80,0.028670,4.096097,0.000063,4.124831
90,0.031784,3.730418,0.000003,3.762205
100,0.028927,3.412251,0.000030,3.441207
128,0.054222,2.437866,0.000005,2.492093
140,0.051482,3.038696,0.000036,3.090213
150,0.086400,3.044231,0.000020,3.130651
160,0.078198,3.372274,0.000003,3.450475
